Dividing Wavelength (nm)	Blue Motor Position (mm)	Red Motor Position (mm)	
442.600000	31.559065	0.000000
442.700000	31.546493	0.000000
442.800000	31.534661	0.000000
442.900000	31.523024	0.000000
443.000000	31.511038	0.000000
443.100000	31.498183	0.000000
443.200000	31.485602	0.000000
443.300000	31.473765	0.000000
443.400000	31.462126	0.000000
443.500000	31.450140	0.000000
443.600000	31.437263	0.000000
443.700000	31.422949	0.000000
443.800000	31.406652	0.000000
443.900000	31.386085	0.000000
444.000000	31.357582	0.000000
444.100000	31.327352	0.000000
444.200000	31.302379	0.000000
444.300000	31.284820	0.000000
444.400000	31.269590	0.000000
444.500000	31.256068	0.000000
444.600000	31.243706	0.000000
444.700000	31.231958	0.000000
444.800000	31.220279	0.000000
444.900000	31.208123	0.000000
445.000000	31.195132	0.000000
445.100000	31.182765	0.000000
445.200000	31.171014	0.000000
445.300000	31.159333	0.000000
445.400000	31.147176	0.000000
445.500000	31.133994	0.000000
445.600000	31.119243	0.000000
445.700000	31.102376	0.000000
445.800000	31.079739	0.000000
445.900000	31.050156	0.000000
446.000000	31.020536	0.000000
446.100000	30.997804	0.000000
446.200000	30.980909	0.000000
446.300000	30.966136	0.000000
446.400000	30.952938	0.000000
446.500000	30.940769	0.000000
446.600000	30.929080	0.000000
446.700000	30.917324	0.000000
446.800000	30.904954	0.000000
446.900000	30.891708	0.000000
447.000000	30.878369	0.000000
447.100000	30.865030	0.000000
447.200000	30.851689	0.000000
447.300000	30.838349	0.000000
447.400000	30.825007	0.000000
447.500000	30.811665	0.000000
447.600000	30.798334	0.000000
447.700000	30.785717	0.000000
447.800000	30.773853	0.000000
447.900000	30.762193	0.000000
448.000000	30.750187	0.000000
448.100000	30.737288	0.000000
448.200000	30.722948	0.000000
448.300000	30.706617	0.000000
448.400000	30.685985	0.000000
448.500000	30.657403	0.000000
448.600000	30.627129	0.000000
448.700000	30.602186	0.000000
448.800000	30.584631	0.000000
448.900000	30.569397	0.000000
449.000000	30.555869	0.000000
449.100000	30.543498	0.000000
449.200000	30.531734	0.000000
449.300000	30.520028	0.000000
449.400000	30.507831	0.000000
449.500000	30.494708	0.000000
449.600000	30.481354	0.000000
449.700000	30.468000	0.000000
449.800000	30.454645	0.000000
449.900000	30.441289	0.000000
450.000000	30.427933	0.000000
450.100000	30.414576	0.000000
450.200000	30.401219	0.000000
450.300000	30.387861	0.000000
450.400000	30.374502	0.000000
450.500000	30.361143	0.000000
450.600000	30.347784	0.000000
450.700000	30.334424	0.000000
450.800000	30.321063	0.000000
450.900000	30.307702	0.000000
451.000000	30.294456	0.000000
451.100000	30.282105	0.000000
451.200000	30.270342	0.000000
451.300000	30.258618	0.000000
451.400000	30.246382	0.000000
451.500000	30.233082	0.000000
451.600000	30.218169	0.000000
451.700000	30.201090	0.000000
451.800000	30.177728	0.000000
451.900000	30.147825	0.000000
452.000000	30.118419	0.000000
452.100000	30.096346	0.000000
452.200000	30.079602	0.000000
452.300000	30.064947	0.000000
452.400000	30.051827	0.000000
452.500000	30.039692	0.000000
452.600000	30.027990	0.000000
452.700000	30.016169	0.000000
452.800000	30.003677	0.000000
452.900000	29.990356	0.000000
453.000000	29.976983	0.000000
453.100000	29.963609	0.000000
453.200000	29.950234	0.000000
453.300000	29.936859	0.000000
453.400000	29.923484	0.000000
453.500000	29.910108	0.000000
453.600000	29.896731	0.000000
453.700000	29.883354	0.000000
453.800000	29.869976	0.000000
453.900000	29.856597	0.000000
454.000000	29.843218	0.000000
454.100000	29.829839	0.000000
454.200000	29.816459	0.000000
454.300000	29.803078	0.000000
454.400000	29.790063	0.000000
454.500000	29.777962	0.000000
454.600000	29.766258	0.000000
454.700000	29.754400	0.000000
454.800000	29.741833	0.000000
454.900000	29.728006	0.000000
455.000000	29.712363	0.000000
455.100000	29.693921	0.000000
455.200000	29.667379	0.000000
455.300000	29.636800	0.000000
455.400000	29.609269	0.000000
455.500000	29.589986	0.000000
455.600000	29.574044	0.000000
455.700000	29.559993	0.000000
455.800000	29.547280	0.000000
455.900000	29.535352	0.000000
456.000000	29.523653	0.000000
456.100000	29.511630	0.000000
456.200000	29.498735	0.000000
456.300000	29.485343	0.000000
456.400000	29.471950	0.000000
